Reactive power consumed
	1	2	3	4	5	6	7	8	9	10	11	12	13	14
22	0.00	11.94	17.86	-3.67	1.50	7.05	0.00	0.00	15.60	5.45	1.69	1.50	5.45	4.70	
23	0.00	11.81	17.67	-3.63	1.49	6.98	0.00	0.00	15.44	5.39	1.67	1.49	5.39	4.65	
24	0.00	11.81	17.67	-3.63	1.49	6.98	0.00	0.00	15.44	5.39	1.67	1.49	5.39	4.65	
25	0.00	11.68	17.48	-3.59	1.47	6.90	0.00	0.00	15.27	5.34	1.66	1.47	5.34	4.60	
26	0.00	11.68	17.48	-3.59	1.47	6.90	0.00	0.00	15.27	5.34	1.66	1.47	5.34	4.60	
27	0.00	11.68	17.48	-3.59	1.47	6.90	0.00	0.00	15.27	5.34	1.66	1.47	5.34	4.60	
28	0.00	11.56	17.29	-3.55	1.46	6.83	0.00	0.00	15.11	5.28	1.64	1.46	5.28	4.55	
29	0.00	11.43	17.10	-3.51	1.44	6.75	0.00	0.00	14.94	5.22	1.62	1.44	5.22	4.50	
30	0.00	11.30	16.91	-3.47	1.42	6.67	0.00	0.00	14.77	5.16	1.60	1.42	5.16	4.45	
31	0.00	11.05	16.53	-3.39	1.39	6.53	0.00	0.00	14.44	5.05	1.57	1.39	5.05	4.35	
32	0.00	10.67	15.96	-3.28	1.34	6.30	0.00	0.00	13.94	4.87	1.51	1.34	4.87	4.20	
33	0.00	10.16	15.20	-3.12	1.28	6.00	0.00	0.00	13.28	4.64	1.44	1.28	4.64	4.00	
34	0.00	9.65	14.44	-2.96	1.22	5.70	0.00	0.00	12.62	4.41	1.37	1.22	4.41	3.80	
35	0.00	8.89	13.30	-2.73	1.12	5.25	0.00	0.00	11.62	4.06	1.26	1.12	4.06	3.50	
36	0.00	8.25	12.35	-2.54	1.04	4.88	0.00	0.00	10.79	3.77	1.17	1.04	3.77	3.25	
37	0.00	7.62	11.40	-2.34	0.96	4.50	0.00	0.00	9.96	3.48	1.08	0.96	3.48	3.00	
38	0.00	6.99	10.45	-2.15	0.88	4.12	0.00	0.00	9.13	3.19	0.99	0.88	3.19	2.75	
39	0.00	6.35	9.50	-1.95	0.80	3.75	0.00	0.00	8.30	2.90	0.90	0.80	2.90	2.50	
40	0.00	5.97	8.93	-1.83	0.75	3.52	0.00	0.00	7.80	2.73	0.85	0.75	2.73	2.35	
41	0.00	5.59	8.36	-1.72	0.70	3.30	0.00	0.00	7.30	2.55	0.79	0.70	2.55	2.20	
42	0.00	5.33	7.98	-1.64	0.67	3.15	0.00	0.00	6.97	2.44	0.76	0.67	2.44	2.10	
43	0.00	5.08	7.60	-1.56	0.64	3.00	0.00	0.00	6.64	2.32	0.72	0.64	2.32	2.00	
44	0.00	4.95	7.41	-1.52	0.62	2.93	0.00	0.00	6.47	2.26	0.70	0.62	2.26	1.95	
45	0.00	4.83	7.22	-1.48	0.61	2.85	0.00	0.00	6.31	2.20	0.68	0.61	2.20	1.90	
46	0.00	4.70	7.03	-1.44	0.59	2.77	0.00	0.00	6.14	2.15	0.67	0.59	2.15	1.85	
47	0.00	4.57	6.84	-1.40	0.58	2.70	0.00	0.00	5.98	2.09	0.65	0.58	2.09	1.80	
48	0.00	4.44	6.65	-1.36	0.56	2.62	0.00	0.00	5.81	2.03	0.63	0.56	2.03	1.75	
49	0.00	4.06	6.08	-1.25	0.51	2.40	0.00	0.00	5.31	1.86	0.58	0.51	1.86	1.60	
50	0.00	3.81	5.70	-1.17	0.48	2.25	0.00	0.00	4.98	1.74	0.54	0.48	1.74	1.50	
51	0.00	3.56	5.32	-1.09	0.45	2.10	0.00	0.00	4.65	1.62	0.50	0.45	1.62	1.40	
52	0.00	3.30	4.94	-1.01	0.42	1.95	0.00	0.00	4.32	1.51	0.47	0.42	1.51	1.30	
53	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
54	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
55	0.00	3.30	4.94	-1.01	0.42	1.95	0.00	0.00	4.32	1.51	0.47	0.42	1.51	1.30	
56	0.00	3.68	5.51	-1.13	0.46	2.17	0.00	0.00	4.81	1.68	0.52	0.46	1.68	1.45	
57	0.00	4.32	6.46	-1.33	0.54	2.55	0.00	0.00	5.64	1.97	0.61	0.54	1.97	1.70	
58	0.00	5.21	7.79	-1.60	0.66	3.07	0.00	0.00	6.81	2.38	0.74	0.66	2.38	2.05	
59	0.00	6.35	9.50	-1.95	0.80	3.75	0.00	0.00	8.30	2.90	0.90	0.80	2.90	2.50	
60	0.00	7.49	11.21	-2.30	0.94	4.42	0.00	0.00	9.79	3.42	1.06	0.94	3.42	2.95	
61	0.00	8.64	12.92	-2.65	1.09	5.10	0.00	0.00	11.29	3.94	1.22	1.09	3.94	3.40	
62	0.00	9.65	14.44	-2.96	1.22	5.70	0.00	0.00	12.62	4.41	1.37	1.22	4.41	3.80	
63	0.00	10.67	15.96	-3.28	1.34	6.30	0.00	0.00	13.94	4.87	1.51	1.34	4.87	4.20	
64	0.00	11.43	17.10	-3.51	1.44	6.75	0.00	0.00	14.94	5.22	1.62	1.44	5.22	4.50	
65	0.00	12.06	18.05	-3.70	1.52	7.12	0.00	0.00	15.77	5.51	1.71	1.52	5.51	4.75	
66	0.00	12.45	18.62	-3.82	1.57	7.35	0.00	0.00	16.27	5.68	1.76	1.57	5.68	4.90	
67	0.00	12.70	19.00	-3.90	1.60	7.50	0.00	0.00	16.60	5.80	1.80	1.60	5.80	5.00	
68	0.00	12.70	19.00	-3.90	1.60	7.50	0.00	0.00	16.60	5.80	1.80	1.60	5.80	5.00	
69	0.00	12.57	18.81	-3.86	1.58	7.42	0.00	0.00	16.43	5.74	1.78	1.58	5.74	4.95	
70	0.00	12.45	18.62	-3.82	1.57	7.35	0.00	0.00	16.27	5.68	1.76	1.57	5.68	4.90	
71	0.00	12.19	18.24	-3.74	1.54	7.20	0.00	0.00	15.94	5.57	1.73	1.54	5.57	4.80	
72	0.00	11.81	17.67	-3.63	1.49	6.98	0.00	0.00	15.44	5.39	1.67	1.49	5.39	4.65	
73	0.00	11.56	17.29	-3.55	1.46	6.83	0.00	0.00	15.11	5.28	1.64	1.46	5.28	4.55	
74	0.00	11.18	16.72	-3.43	1.41	6.60	0.00	0.00	14.61	5.10	1.58	1.41	5.10	4.40	
75	0.00	10.79	16.15	-3.31	1.36	6.38	0.00	0.00	14.11	4.93	1.53	1.36	4.93	4.25	
76	0.00	10.54	15.77	-3.24	1.33	6.22	0.00	0.00	13.78	4.81	1.49	1.33	4.81	4.15	
77	0.00	10.16	15.20	-3.12	1.28	6.00	0.00	0.00	13.28	4.64	1.44	1.28	4.64	4.00	
78	0.00	9.78	14.63	-3.00	1.23	5.78	0.00	0.00	12.78	4.47	1.39	1.23	4.47	3.85	
79	0.00	9.52	14.25	-2.92	1.20	5.62	0.00	0.00	12.45	4.35	1.35	1.20	4.35	3.75	
80	0.00	9.14	13.68	-2.81	1.15	5.40	0.00	0.00	11.95	4.18	1.30	1.15	4.18	3.60	
81	0.00	8.89	13.30	-2.73	1.12	5.25	0.00	0.00	11.62	4.06	1.26	1.12	4.06	3.50	
82	0.00	8.51	12.73	-2.61	1.07	5.03	0.00	0.00	11.12	3.89	1.21	1.07	3.89	3.35	
83	0.00	8.25	12.35	-2.54	1.04	4.88	0.00	0.00	10.79	3.77	1.17	1.04	3.77	3.25	
84	0.00	8.00	11.97	-2.46	1.01	4.72	0.00	0.00	10.46	3.65	1.13	1.01	3.65	3.15	
85	0.00	7.75	11.59	-2.38	0.98	4.58	0.00	0.00	10.13	3.54	1.10	0.98	3.54	3.05	
86	0.00	7.37	11.02	-2.26	0.93	4.35	0.00	0.00	9.63	3.36	1.04	0.93	3.36	2.90	
87	0.00	7.11	10.64	-2.18	0.90	4.20	0.00	0.00	9.30	3.25	1.01	0.90	3.25	2.80	
88	0.00	6.73	10.07	-2.07	0.85	3.98	0.00	0.00	8.80	3.07	0.95	0.85	3.07	2.65	
89	0.00	6.48	9.69	-1.99	0.82	3.83	0.00	0.00	8.47	2.96	0.92	0.82	2.96	2.55	
90	0.00	6.10	9.12	-1.87	0.77	3.60	0.00	0.00	7.97	2.78	0.86	0.77	2.78	2.40	
91	0.00	5.71	8.55	-1.75	0.72	3.38	0.00	0.00	7.47	2.61	0.81	0.72	2.61	2.25	
92	0.00	5.33	7.98	-1.64	0.67	3.15	0.00	0.00	6.97	2.44	0.76	0.67	2.44	2.10	
93	0.00	4.95	7.41	-1.52	0.62	2.93	0.00	0.00	6.47	2.26	0.70	0.62	2.26	1.95	
94	0.00	4.57	6.84	-1.40	0.58	2.70	0.00	0.00	5.98	2.09	0.65	0.58	2.09	1.80	
95	0.00	4.19	6.27	-1.29	0.53	2.48	0.00	0.00	5.48	1.91	0.59	0.53	1.91	1.65	
96	0.00	3.81	5.70	-1.17	0.48	2.25	0.00	0.00	4.98	1.74	0.54	0.48	1.74	1.50	
97	0.00	3.56	5.32	-1.09	0.45	2.10	0.00	0.00	4.65	1.62	0.50	0.45	1.62	1.40	
98	0.00	3.30	4.94	-1.01	0.42	1.95	0.00	0.00	4.32	1.51	0.47	0.42	1.51	1.30	
99	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
100	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
101	0.00	3.05	4.56	-0.94	0.38	1.80	0.00	0.00	3.98	1.39	0.43	0.38	1.39	1.20	
102	0.00	3.17	4.75	-0.97	0.40	1.88	0.00	0.00	4.15	1.45	0.45	0.40	1.45	1.25	
103	0.00	3.43	5.13	-1.05	0.43	2.03	0.00	0.00	4.48	1.57	0.49	0.43	1.57	1.35	
104	0.00	3.94	5.89	-1.21	0.50	2.33	0.00	0.00	5.15	1.80	0.56	0.50	1.80	1.55	
105	0.00	4.70	7.03	-1.44	0.59	2.77	0.00	0.00	6.14	2.15	0.67	0.59	2.15	1.85	
106	0.00	5.46	8.17	-1.68	0.69	3.23	0.00	0.00	7.14	2.49	0.77	0.69	2.49	2.15	
107	0.00	6.48	9.69	-1.99	0.82	3.83	0.00	0.00	8.47	2.96	0.92	0.82	2.96	2.55	
108	0.00	7.37	11.02	-2.26	0.93	4.35	0.00	0.00	9.63	3.36	1.04	0.93	3.36	2.90	
109	0.00	8.38	12.54	-2.57	1.06	4.95	0.00	0.00	10.96	3.83	1.19	1.06	3.83	3.30	
110	0.00	9.40	14.06	-2.89	1.18	5.55	0.00	0.00	12.28	4.29	1.33	1.18	4.29	3.70	
111	0.00	10.29	15.39	-3.16	1.30	6.08	0.00	0.00	13.45	4.70	1.46	1.30	4.70	4.05	
112	0.00	10.92	16.34	-3.35	1.38	6.45	0.00	0.00	14.28	4.99	1.55	1.38	4.99	4.30	
113	0.00	11.43	17.10	-3.51	1.44	6.75	0.00	0.00	14.94	5.22	1.62	1.44	5.22	4.50	
114	0.00	11.81	17.67	-3.63	1.49	6.98	0.00	0.00	15.44	5.39	1.67	1.49	5.39	4.65	
115	0.00	12.06	18.05	-3.70	1.52	7.12	0.00	0.00	15.77	5.51	1.71	1.52	5.51	4.75	
116	0.00	12.19	18.24	-3.74	1.54	7.20	0.00	0.00	15.94	5.57	1.73	1.54	5.57	4.80	
117	0.00	12.19	18.24	-3.74	1.54	7.20	0.00	0.00	15.94	5.57	1.73	1.54	5.57	4.80	
118	0.00	12.06	18.05	-3.70	1.52	7.12	0.00	0.00	15.77	5.51	1.71	1.52	5.51	4.75	
119	0.00	11.94	17.86	-3.67	1.50	7.05	0.00	0.00	15.60	5.45	1.69	1.50	5.45	4.70	
120	0.00	11.68	17.48	-3.59	1.47	6.90	0.00	0.00	15.27	5.34	1.66	1.47	5.34	4.60	
121	0.00	11.43	17.10	-3.51	1.44	6.75	0.00	0.00	14.94	5.22	1.62	1.44	5.22	4.50	
122	0.00	11.18	16.72	-3.43	1.41	6.60	0.00	0.00	14.61	5.10	1.58	1.41	5.10	4.40	
123	0.00	10.92	16.34	-3.35	1.38	6.45	0.00	0.00	14.28	4.99	1.55	1.38	4.99	4.30	
124	0.00	10.54	15.77	-3.24	1.33	6.22	0.00	0.00	13.78	4.81	1.49	1.33	4.81	4.15	
125	0.00	10.29	15.39	-3.16	1.30	6.08	0.00	0.00	13.45	4.70	1.46	1.30	4.70	4.05	
126	0.00	9.91	14.82	-3.04	1.25	5.85	0.00	0.00	12.95	4.52	1.40	1.25	4.52	3.90	
127	0.00	9.52	14.25	-2.92	1.20	5.62	0.00	0.00	12.45	4.35	1.35	1.20	4.35	3.75	
128	0.00	9.14	13.68	-2.81	1.15	5.40	0.00	0.00	11.95	4.18	1.30	1.15	4.18	3.60	
129	0.00	8.76	13.11	-2.69	1.10	5.17	0.00	0.00	11.45	4.00	1.24	1.10	4.00	3.45	
130	0.00	8.38	12.54	-2.57	1.06	4.95	0.00	0.00	10.96	3.83	1.19	1.06	3.83	3.30	
131	0.00	8.00	11.97	-2.46	1.01	4.72	0.00	0.00	10.46	3.65	1.13	1.01	3.65	3.15	
132	0.00	7.62	11.40	-2.34	0.96	4.50	0.00	0.00	9.96	3.48	1.08	0.96	3.48	3.00	
133	0.00	7.11	10.64	-2.18	0.90	4.20	0.00	0.00	9.30	3.25	1.01	0.90	3.25	2.80	
134	0.00	6.73	10.07	-2.07	0.85	3.98	0.00	0.00	8.80	3.07	0.95	0.85	3.07	2.65	
135	0.00	6.35	9.50	-1.95	0.80	3.75	0.00	0.00	8.30	2.90	0.90	0.80	2.90	2.50	
136	0.00	5.97	8.93	-1.83	0.75	3.52	0.00	0.00	7.80	2.73	0.85	0.75	2.73	2.35	
137	0.00	5.59	8.36	-1.72	0.70	3.30	0.00	0.00	7.30	2.55	0.79	0.70	2.55	2.20	
138	0.00	5.21	7.79	-1.60	0.66	3.07	0.00	0.00	6.81	2.38	0.74	0.66	2.38	2.05	
139	0.00	4.83	7.22	-1.48	0.61	2.85	0.00	0.00	6.31	2.20	0.68	0.61	2.20	1.90	
140	0.00	4.57	6.84	-1.40	0.58	2.70	0.00	0.00	5.98	2.09	0.65	0.58	2.09	1.80	
141	0.00	4.32	6.46	-1.33	0.54	2.55	0.00	0.00	5.64	1.97	0.61	0.54	1.97	1.70	
142	0.00	4.06	6.08	-1.25	0.51	2.40	0.00	0.00	5.31	1.86	0.58	0.51	1.86	1.60	
143	0.00	3.81	5.70	-1.17	0.48	2.25	0.00	0.00	4.98	1.74	0.54	0.48	1.74	1.50	
144	0.00	3.68	5.51	-1.13	0.46	2.17	0.00	0.00	4.81	1.68	0.52	0.46	1.68	1.45	
